Name,Soundex,Frequency,ZipfPopularity
Alcroft,A426,1,3
Aldam,A435,1,1
Alder,A436,1,17
Alderman,A436,4,18
Aldersey,A436,1,1
Alderslade,A436,1,18
Alderson,A436,5,1
Alderton,A436,3,170
Aldington,A435,2,1
Aldis,A432,1,1
Aldous,A432,3,3
Aldred,A436,4,1
Aldrich,A436,1,12
Aldridge,A436,9,4
Aldwinckle,A435,1,4
Alecock,A422,1,1
Alexander,A425,24,1
Alexanders,A425,2,5
Alford,A416,5,13
Alfrey,A416,1,1
Algar,A426,1,15
Alger,A426,2,2
Alker,A426,3,1
Allam,A450,2,1
Allamby,A451,1,5
Allan,A450,5,32
Allanby,A451,2,107
Allanson,A452,1,23
Allard,A463,2,1
Allardus,A463,1,2
Allart,A463,1,3
Allatt,A430,1,8
Allaway,A400,2,1
Allbright,A416,1,2
Allbrighton,A416,1,3
Allchin,A425,2,2
Allchurch,A426,1,1
Allcock,A422,15,297
Allcot,A423,1,2
Allcott,A423,1,3635
Allcroft,A426,1,2
Allday,A430,1,2
Alldred,A436,1,1
Alldridge,A436,1,1
Allen,A450,123,3
Allenby,A451,1,1
Alley,A400,2,3
Allford,A416,2,1
Allgood,A423,1,15
Allies,A420,1,349
Allingham,A452,1,4
Allinson,A452,2,1
Allis,A420,1,2
Allison,A425,15,1
Allitt,A430,1,1
Allkin,A425,1,140
Allman,A455,1,1
Allmond,A455,1,1
Allonby,A451,1,1
Allott,A430,1,1
Allport,A416,4,2
Allsebrook,A421,1,10
Allsop,A421,5,4
Allsopp,A421,2,1
Allston,A423,1,6
Allsworth,A426,2,1
Allum,A450,2,8
Allwinckles,A452,1,4
Allwood,A430,4,1
Almond,A455,6,1
Alner,A456,1,1
Alp,A410,1,1
Alpass,A412,1,2
Alsop,A421,9,1
Alston,A423,3,1
Alsworth,A426,1,5
Alt,A430,1,2
Altham,A435,4,3
Altoft,A431,1,1
Alton,A435,3,14
Alty,A430,1,676
Alvey,A410,1,1
Alvis,A412,1,17
Alway,A400,2,1
Ambler,A514,4,13
Ambrey,A516,1,6
Ambrose,A516,6,1
Amer,A560,3,1
Amery,A560,2,148
Ames,A520,4,1
Amesbury,A521,1,173
Amey,A500,3,1
Amis,A520,1,1
Amison,A525,1,1
Amiss,A520,1,1
Amlod,A543,1,1
Amor,A560,2,3
Amory,A560,1,177
Amos,A520,17,12
Amrus,A562,1,2
Amy,A500,2,1
Anachon,A525,1,3
Anders,A536,1,1
Anderson,A536,37,3
Anderton,A536,11,4
Andranartha,A536,1,32
Andress,A536,1,1
Andrew,A536,17,15
Andrews,A536,51,3
Anelay,A540,1,1
Anfield,A514,1,1
Angel,A524,2,1
Angell,A524,3,8610
Angley,A524,1,73554
Angleys,A524,1,2
Angove,A521,3,1
Angrave,A526,4,1
Angus,A522,1,4
Angwin,A525,1,1
Anker,A526,1,4
Ankers,A526,2,1
Ankress,A526,1,11
Anley,A540,1,2
Ann,A500,1,1
Annan,A550,1,189
Anness,A520,3,4
Anning,A552,2,1
Anniss,A520,2,2
Anns,A520,1,161
Annums,A552,1,10
Anscombe,A525,1,1
Ansell,A524,6,1
Ansley,A524,1,4
Ansloe,A524,1,28
Anson,A525,1,1
Anstead,A523,1,2
Anstee,A523,2,1
Anstey,A523,1,14
Anstis,A523,1,7
Anstiss,A523,1,1
Anthony,A535,10,1
Antill,A534,1,1
Antony,A535,1,23
Antrobus,A536,3,1
Anturs,A536,1,1
Antwiss,A532,1,1659
Anvine,A515,1,1
Anwell,A540,1,1
Anyon,A550,1,1
Aplin,A145,3,13
Appelford,A141,1,1
Appelton,A143,1,1
Appleby,A141,12,2
Appledow,A143,1,6660
Applegarth,A142,1,6
Applegate,A142,1,1
Appleton,A143,11,1
Appleyard,A146,4,1948
Applin,A145,1,1
Apps,A120,5,3
Aps,A120,1,1
Apted,A133,2,1
Arandle,A653,1,1
Arber,A616,1,1
Arberry,A616,1,2
Arbridge,A616,1,228
Archdeacon,A623,1,3
Archer,A626,26,1
Arcoat,A623,1,1
Arcy,A620,1,2
Arden,A635,1,4
Ardern,A636,1,1
Ardley,A634,2,148
Ardran,A636,1,1
Ardron,A636,1,2
Ardrun,A636,1,3
Ardwick,A632,1,1
Argent,A625,4,1
Argile,A624,2,3
Argust,A622,1,3
Argyle,A624,1,14
Aries,A620,1,1
Aris,A620,2,38
Arkcoll,A624,1,1
Arkel,A624,1,404
Arkell,A624,1,3
Arkinstall,A625,1,5
Arkwright,A626,1,4
Arlett,A643,1,2
Arlis,A642,1,3
Armes,A652,1,1
Armieson,A652,1,2
Armistead,A652,1,3
Armitage,A653,19,1
Armitstead,A653,2,7
Armitt,A653,1,9
Armor,A656,1,6
Armstead,A652,4,1
Armstrong,A652,47,1
Arn??eld,A654,1,3
Arnall,A654,1,441
Arnand,A655,1,16
Arnell,A654,1,20
Arnern?,A656,1,6
Arnett,A653,3,1
Arno,A650,1,1
Arnold,A654,18,3
Arnot,A653,1,1
Arnott,A653,2,147
Arrand,A653,1,3
Arrindel,A653,1,1
Arrowsmith,A625,2,1
Arscott,A623,4,2
Arslett,A624,1,10
Arson,A625,1,11
Arstall,A623,1,1
Arthur,A636,13,2
Arthurs,A636,2,115
Artinstall,A635,1,66
Arton,A635,1,22
Arundale,A653,1,1
Arundell,A653,2,426
Asa,A200,1,2
Asbey,A210,1,271
Asbury,A216,2,4
Ascott,A230,1,2
Ascough,A220,1,1
Ascroft,A261,2,14
Ash,A200,11,64
Ashall,A240,2,1
Ashbee,A210,1,4
Ashbey,A210,2,1
Ashbolt,A214,1,1
Ashbrood,A216,1,1
Ashbrook,A216,1,3
Ashby,A210,7,2
Ashcroft,A226,6,4
Ashdown,A235,1,1
Ashenhurst,A256,1,5
Asher,A260,3,88
Ashey,A200,1,8
Ashford,A216,4,4
Ashley,A240,9,3
Ashlin,A245,1,363
Ashling,A245,1,1
Ashman,A255,3,2
Ashmole,A254,1,1
Ashmore,A256,3,3
Ashpole,A214,1,3
Ashton,A235,29,104
Ashurst,A262,2,2034
Ashwell,A240,4,1
Ashworth,A263,30,1
Askem,A250,1,1
Askew,A200,6,269
Askham,A250,1,55
Askwith,A230,2,1
Aslatt,A243,1,1
Aslett,A243,2,1
Aspden,A213,5,297
Aspin,A215,3,3
Aspinal,A215,1,1
Aspinall,A215,6,6
Aspinaul,A215,1,38373
Aspinwall,A215,4,19
Asplin,A214,1,2
Asprey,A216,3,36
Aspworth,A216,1,2
Asquith,A230,2,2
Asser,A260,1,5
Assinder,A253,1,2
Astbury,A231,5,43
Astell,A234,1,1
Astin,A235,2,5
Astle,A234,1,3
Astley,A234,3,2
Aston,A235,8,3
Astridge,A236,1,1
Astwood,A233,1,1
Atack,A320,1,1410
Atcheson,A322,1,3
Atchinson,A325,1,1
Atchison,A322,1,1
Atfield,A314,1,1
Atha,A300,1,32
Atherfold,A361,1,1
Atherton,A363,13,2
Atkin,A325,10,1209
Atkings,A325,1,1
Atkins,A325,23,1
Atkinson,A325,58,1
Atlee,A340,1,21
Atnicle?,A352,2,1
Atrill,A364,1,1
Atterbury,A361,4,9
Atterby,A361,1,3
Attewell,A340,1,30
Attfield,A314,2,1
Attlebury,A341,1,1
Attridge,A363,2,2
Attrill,A364,2,836
Attryde,A363,1,10374
Attwells,A342,1,1
Attwood,A330,4,1
Attwooll,A340,1,191
Atwell,A340,3,1
Atwood,A330,2,11391
Aubrey,A160,2,24
Auckland,A245,1,1
Audin,A350,1,2
Audley,A340,3,3
Audrus,A362,1,1
Audsley,A324,1,912
Aufield,A143,1,2
Augas,A220,1,681
Auger,A260,1,341
Aukland,A245,2,1
Ault,A430,1,1
Austen,A235,7,3
Austin,A235,33,2
Austine,A235,1,4
Auty,A300,6,1
Avent,A153,2,1
Aver,A160,1,7
Averell,A164,1,5
Avery,A160,7,2
Aveyard,A163,1,2
Avis,A120,4,2
Awbrey,A160,1,1
Axford,A216,2,1
Axon,A250,2,1
Axtell,A234,1,3
Axten,A235,1,169
Axworthy,A263,1,2
Ayers,A620,5,2
Aykroyd,A263,1,18
Ayland,A453,2,1
Ayles,A420,1,49
Aylett,A430,2,1
Ayliffe,A410,1,3
Ayling,A452,1,1
Aylmer,A456,1,10
Aymard,A563,1,5
Aynscough,A522,1,1
Ayre,A600,5,4
Ayres,A620,9,14635
Ayscough,A220,1,1
Aythorn,A365,1,57947
Ayting,A352,1,3532
Ayton,A350,1,1
Babb,B100,2,1
Babbage,B120,1,2
Baber,B160,2,4
Babington,B152,2,11
Bacchus,B220,1,4
Bache,B200,3,1
Bachelor,B246,3,5
Back,B200,3,439
Backhouse,B220,6,1
Backhurst,B262,1,1
Backs,B200,1,10
Bacon,B250,19,27
Bacot,B230,1,1
Badcock,B322,10,2
Baddeley,B340,4,1
Badder,B360,1,1
Baddley,B340,1,10
Baden,B350,1,1
Badger,B326,2,1
Badham,B350,1,3
Badkin,B325,1,21
Badly,B340,1,1
Badmin,B355,1,3
Bage,B200,1,1
Bageant,B253,1,9
Bagg,B200,2,9
Baggaley,B240,1,1
Bagge,B200,2,2
Baggeley,B240,1,1099830
Baggott,B230,2,1
Baggs,B200,3,4
Bagguley,B240,1,1
Baghott,B230,1,2
Bagley,B240,5,1
Baglin,B245,1,1
Bagnall,B254,9,437
Bagnett,B253,1,1
Bagot,B230,2,4
Bagshaw,B200,7,5
Bagshawe,B200,1,1
Baguley,B240,3,1
Baigent,B253,4,6
Bail,B400,2,3
Baildon,B435,1,2
Bailes,B420,2,3
Bailey,B400,84,5
Baillie,B400,4,20
Baily,B400,5,7
Bain,B500,3,5272
Bainbridge,B516,8,24
Baines,B520,7,1
Bains,B520,2,1
Bainton,B535,2,1
Baird,B630,3,2
Bairstow,B623,4,11
Bait---,B300,1,1
Bake,B200,1,3
Baker,B260,134,92
Bakewell,B240,4,1
Balch,B420,1,2
Balchan,B425,1,3
Balchin,B425,1,1
Balcombe,B425,3,2
Balderson,B436,2,3
Balderston,B436,1,1
Baldock,B432,6,25
Baldrans,B436,1,382
Baldrey,B436,1,2
Baldry,B436,2,1
Baldwick,B432,1,3
Baldwin,B435,27,3
Bale,B400,6,1
Bales,B420,1,1
Balkwell,B424,1,8
Ball,B400,56,7
Ballam,B450,2,5
Ballamy,B450,1,1
Ballard,B463,10,2
Balle,B400,1,1
Ballehatchel,B432,1,395
Ballinger,B452,1,2
Balls,B420,17,1
Balme,B450,2,2
Balmer,B456,4,1
Balmforth,B451,2,1
Balsden,B423,1,4
Balsdon,B423,2,5
Balson,B425,2,2
Balster,B423,1,1
Baly,B400,1,1
Bamber,B516,4,6
Bambridge,B516,1,13
Bambrough,B516,1,7
Bamford,B516,7,5
Bamforth,B516,5,1
Bamkin,B525,2,4
Bammond,B553,1,1
Banan,B550,1,4
Bancroft,B526,9,2
Bane,B500,1,4
Banett,B530,1,68
Banfield,B514,3,5
Banger,B526,1,1
Bangham,B525,1,12
Bangs,B520,2,3
Banham,B550,6,3
Banister,B523,3,657
Banks,B520,20,31
Bannan,B550,3,23
Banner,B560,2,1
Bannester,B523,1,1
Bannin,B550,1,3
Bannings,B552,1,11
Bannister,B523,10,3
Bantock,B532,2,1
Banton,B535,1,19
Banu----,B500,1,1
Banyan,B550,1,11
Banyard,B563,1,1
Bara*wanath,B653,1,7
Baratt,B630,1,1
Barber,B616,36,1
Barbor,B616,1,1
Barbrur,B616,1,1
Barclay,B624,5,8
Bard,B630,1,1
Bardell,B634,1,728
Barden,B635,3,15
Bardill,B634,1,1
Bardonneau,B635,1,1
Bardrick,B636,1,2
Bardsley,B632,3,3
Barefoot,B613,1,2
Baren,B650,1,1
Barfield,B614,2,5
Barfoot,B613,2,1
Bargale,B624,1,36
Barge,B620,3,1
Bargery,B626,1,1
Bargh,B620,1,2
Barham,B650,2,35
Bark,B620,2,4
Barke,B620,1,6
Barker,B626,78,1
Barkham,B625,1,1
Barkleon?,B624,1,1
Barkley,B624,1,1
Barks,B620,1,3
Barkway,B620,1,1
Barkworth,B626,1,33
Barley,B640,1,5
Barleycorn,B642,1,8
Barling,B645,2,36
Barlow,B640,40,93
Barltrop,B643,1,1277
Barnaby,B651,1,1
Barnacle,B652,1,2
Barnard,B656,16,14
Barnbrook,B651,1,7
Barnby,B651,1,4
Barneby,B651,1,1
Barneicott,B652,1,1
Barnes,B652,85,2
Barnet,B653,3,43
Barnett,B653,27,3
Barnfather,B651,3,2
Barnfield,B651,3,2
Barningham,B655,1,1
Barns,B652,9,46
Barnsdale,B652,1,4
Barnsdall,B652,1,22
Barnshaw,B652,1,984
Barnstein,B652,1,172
Barnstien,B652,1,4
Baron,B650,8,2
Barows?,B620,1,43
Barr,B600,3,1
Barrable,B614,1,90
Barraclough,B624,7,109
Barrah,B600,2,1
Barrance,B652,1,1
Barrans,B652,2,1
Barras,B620,1,145
Barrass,B620,1,20
Barratt,B630,14,2
Barraud,B630,1,9
Barrell,B640,7,3
Barret,B630,3,441
Barrett,B630,46,1
Barriball,B614,1,23
Barrick,B620,2,3
Barringer,B652,2,2
Barris,B620,1,2
Barrisford,B621,1,1
Barritt,B630,2,4
Barrocliff,B624,1,1
Barron,B650,10,1
Barrons,B652,1,1
Barrow,B600,14,1
Barrowclough,B624,3,5
Barrows,B620,2,1
Barrs,B620,5,5
Barry,B600,10,1
Barsby,B621,2,12
Barsley,B624,1,2
Barson,B625,1,1
Barstow,B623,1,4
Barter,B636,5,1
Bartholemew,B634,1,1
Barthram,B636,1,1
Barthrom,B636,1,8
Bartlam,B634,1,1
Bartle,B634,6,5
Bartlett,B634,35,2
Bartley,B634,1,1
Barton,B635,27,10
Bartram,B636,3,1
Bartrom,B636,2,1
Bartwistle,B632,1,1
Barwell,B640,1,4
Barwick,B620,3,53
Barwise,B620,1,13
Barwood,B630,1,7
Basely,B240,1,90
Basey,B200,1,2
Basher,B260,1,2
Bashford,B216,6,5
Bashforth,B216,1,1
Baskervill,B261,1,20
Baskerville,B261,2,1
Baskey,B200,1,44
Basnett,B253,2,230
Basquill,B240,1,418
Bass,B200,9,1
Basset,B230,1,1
Bassett,B230,13,2
Bassford,B216,1,2
Bassils,B242,1,1
Bassnett,B253,1,1
Basson,B250,2,1
Bastable,B231,2,10
Bastiman,B235,1,1
Bastin,B235,4,2
Basting,B235,2,8415
Baston,B235,4,1
Bastow,B230,3,6
Batchelar,B324,2,1
Batchelor,B324,7,1
Bate,B300,10,2
Bateman,B355,18,1
Bates,B320,44,5
Bateson,B325,1,1
Bath,B300,7,1
Bathe,B300,2,1
Bather,B360,2,3
Batho,B300,2,1
Batkin,B325,1,181
Batley,B340,2,2
Batman,B355,1,2
Batney,B350,1,8
Batson,B325,1,1
Batt,B300,7,1
Battams,B352,2,5
Batten,B350,6,3
Battensby,B352,1,1
Batter,B360,2,60
Batterbee,B361,1,2021
Battersby,B362,1,1
Battershall,B362,1,3
Batterson,B362,1,1
Battey,B300,1,11
Battle,B340,1,1
Batton,B350,1,22
Batts,B320,2,1
Batty,B300,16,1798
Battye,B300,2,2
Baty,B300,2,8
Bau---ham,B500,1,2
Bau-hes,B200,1,3
Baugh,B200,3,1
Baughan,B250,1,1
Baulder,B436,1,1
Bauldry,B436,1,1
Baulson,B425,1,1
Baum,B500,3,16
Baumgartner,B526,1,1
Bavage,B120,1,10
Baverstock,B162,1,45
Baw--,B000,1,2
Bawden,B350,7,13
Bawdon,B350,1,2
Bawn,B500,1,1
Baxendale,B253,3,1
Baxter,B236,26,1
Baybry,B160,1,3
Bayes,B200,4,956
Bayfield,B143,2,2557
Bayford,B163,2,3
Bayles,B420,3,16
Bayless,B420,2,3
Bayley,B400,15,3
Bayliess?,B420,1,1
Baylis,B420,11,2
Bayliss,B420,2,6
Bayly,B400,4,3
Bayman,B550,1,1
Bayne,B500,1,5
Baynes,B520,3,8
Bays,B200,3,1
Bayston,B235,1,15
Bazile,B240,1,1
Bazill,B240,1,33
Beach,B200,3,2
Beacham,B250,2,1
Beachum,B250,1,25
Beacon,B250,1,24
Beadale,B340,1,1
Beadel,B340,1,1
Beaden,B350,1,1
Beadle,B340,4,17
Beadling,B345,1,3
Beadnell,B354,2,2
Beagley,B240,3,1
Beaks,B200,1,7
Beal,B400,5,29
Beale,B400,10,23
Beals,B420,1,125
Beamy,B500,1,13
Bean,B500,11,205
Beaney,B500,1,177
Beanland,B545,4,3
Beans,B520,1,1
Bear,B600,7,133
Bearby,B610,1,3
Beard,B630,16,14
Beardall,B634,1,1
Beardmore,B635,7,151
Beardow,B630,1,2
Beards,B632,1,5
Beardsall,B632,2,3
Beardshaw,B632,2,1
Beardsley,B632,6,99
Beardsworth,B632,1,2
Beardwood,B633,1,8
Beare,B600,4,2
Bearman,B655,1,1
Bearns,B652,1,2
Bearup,B610,1,6
Beasley,B240,2,2073
Beason,B250,1,3
Beater,B360,1,10
Beatson,B325,2,8
Beattie,B300,5,2
Beatty,B300,3,4
Beaumann,B550,1,82
Beaumont,B553,23,1
Beaurie,B600,1,1
Beavan,B150,3,59
Beaven,B150,3,11
Beaver,B160,5,5
Beavers,B162,1,8
Beaverstock,B162,1,20
Beaves,B120,1,13
Beavis,B120,1,1
Beavitt,B130,1,1
Beazer,B260,1,2
Beazley,B240,2,3
Bebb,B100,3,1
Bebbington,B152,4,7
Bebington,B152,2,1
Beck,B200,9,3
Beckensall,B252,1,12
Becker,B260,2,1
Becket,B230,1,2
Beckett,B230,15,1
Beckford,B216,1,1
Beckham,B250,1,2
Beckingham,B252,1,1
Beckinsale,B252,1,1
Beckley,B240,2,1
Beckton,B235,1,331
Beckwith,B230,4,4
Beckworth,B263,1,7
Bed(s)well,B324,1,1
Beddard,B363,1,67
Beddell,B340,1,1
Bedding,B352,1,7
Beddis,B320,1,441
Beddome,B350,1,1
Beddow,B300,2,1
Beddowes,B320,1,1
Beddows,B320,1,1
Bedel,B340,1,1
Bedford,B316,12,349
Bedingfield,B352,1,44
Bedson,B325,3,5
Bedsor X'd,B326,1,2
Bedsworth,B326,1,46
Bee,B000,4,3
Beeby,B100,2,1
Beech,B200,4,1
Beecham,B250,1,2
Beecher,B260,1,1
Beechey,B200,2,2
Beeching,B252,3,1
Beechy,B200,2,414
Beecroft,B261,7,1
Beedel,B340,1,1995
Beedle,B340,2,1
Beel,B400,1,4
Beeley,B400,2,33
Beels,B420,1,7
Beeny,B500,1,1
Beer,B600,13,1
Beers,B620,1,1
Bees,B200,4,11
Beese,B200,1,1
Beesley,B240,6,1
Beeson,B250,1,1
Beeston,B235,3,2
Beet(te)lesto,B342,1,1
Beetham,B350,1,1
Beeton,B350,4,4
Beetson,B325,2,2
Beety,B300,1,2
Beevers,B162,2,5
Beevors,B162,1,1
Begley,B240,3,222
Beha,B000,1,1
Behanrell,B564,1,2
Behennah,B500,1,1
Beighton,B235,1,74
Beilby,B410,3,479
Beill,B400,1,2
Beirne,B650,1,2
Belban,B415,1,473
Belbin,B415,1,6
Belcher,B426,8,2
Belchier,B426,1,1
Beldam,B435,1,1
Beldham,B435,1,1
Beldom,B435,2,3
Beldon,B435,3,2619
Belfield,B414,1,10
Belfit,B413,1,4
Belham,B450,1,3
Bell,B400,88,6
Bellaby,B410,1,3
Bellamy,B450,8,3
Bellarby,B461,1,7
Bellas,B420,1,1
Bellati,B430,1,151
Bellchamber,B425,1,1
Bellchambers,B425,1,1
Bellenes,B452,1,1
Belles,B420,1,3
Bellfield,B414,1,13248
Bellinger,B452,2,2
Bellingham,B452,2,13
Bellion,B450,2,1
Bellis,B420,3,745
Bellmer,B456,1,3
Bellmore,B456,1,53
Bellringer,B465,1,1
Bellwood,B430,1,31
Bellyse,B420,1,1
Belsey,B420,1,46
Belshaw,B420,1,1
Belton,B435,1,1
Benbow,B510,4,1
Bench,B520,1,3
Bendals,B534,1,1
Bendel,B534,1,29
Bendelow,B534,2,2
Benefield,B514,1,2
Beney,B500,1,2
Benfield,B514,2,13
Benford,B516,1,1
Benges,B522,2,15
Bengough,B522,1,115
Benham,B550,7,1
Beningfield,B552,1,83
Benjafield,B521,3,7
Benjamin,B525,5,1
Benn,B500,7,5
Bennell,B540,1,1
Benner,B560,1,15
Bennet,B530,5,1
Bennett,B530,116,17
Bennetts,B532,6,5
Benneworth,B563,1,12
Benney,B500,5,2
Bennicke?,B520,1,9
Bennion,B550,1,1
Bennison,B525,4,1
Benny,B500,1,2
Bensely?,B524,1,1
Benson,B525,13,1
Benstead,B523,1,545
Bensted,B523,1,2
Bensusan,B522,1,1
Bent,B530,9,9
Bentham,B535,4,3
Bentlett,B534,1,1
Bentley,B534,31,17
Bentliff,B534,1,5
Benton,B535,7,17
Benwell,B540,2,1
Beresford,B621,6,1
Berjer,B626,1,1
Berkeley,B624,1,7
Berkly,B624,2,21
Bermingham,B655,1,9
Bernard,B656,1,1
Bernet,B653,1,1
Berney,B650,1,3
Bernhard,B656,1,20
Bernie,B650,1,1
Bernier,B656,1,54
Berrey,B600,1,54
Berridge,B632,5,1
Berrill,B640,1,4
Berriman,B655,4,2
Berrington,B652,1,10
Berrisford,B621,2,1
Berrow,B600,1,4
Berry,B600,53,2
Berryman,B655,4,7
Bertenshaw,B635,2,5
Bertherick,B636,1,1
Berton,B635,1,1
Bertram,B636,1,1
Berwick,B620,3,14
Besant,B253,1,1
Bess,B200,1,1
Bessant,B253,3,11
Bessent,B253,1,5
Bessford,B216,1,7
Bessy,B200,1,1633
Best,B230,13,5
Bestford,B231,1,3
Bestwick,B232,6,1
Beswick,B220,8,1
Bethel,B340,1,65
Bethell,B340,4,5
Betson,B325,1,1
Bettany,B350,1,1
Betteley,B340,2,1
Betteridge,B363,2,2
Betterton,B363,1,23
Bettinson,B352,3,1
Bettis,B320,1,13588
Bettison,B325,2,4
Bettles,B342,1,5
Bettney,B350,1,10
Bettoney,B350,1,4
Bettridge,B363,1,5
Betts,B320,28,1
Bevan,B150,16,307
Bevans,B152,2,2
Bevell,B140,1,2
Beven,B150,1,1
Beverley,B164,3,1
Beverlin,B164,1,1
Bevers,B162,2,1
Bevin,B150,1,2
Bevins,B152,1,3
Bevis,B120,3,4
Bewen,B500,1,3
Bewes,B200,2,3
Bewick,B200,1,1
Bewley,B400,1,1
Bewsher,B260,1,1
Beynon,B550,5,13
Bezzant,B253,1,1
Bibb,B100,1,8
Bibbs,B120,1,1
Bibby,B100,7,34
Bibey,B100,1,2
Bicheni?,B250,1,3
Bick,B200,2,3
Bickel,B240,1,78
Bickerdyke,B263,1,65
Bickers,B262,1,1
Bickerstaff,B262,3,1
Bickerton,B263,2,1
Bickford,B216,2,1
Bickham,B250,1,1
Bickle,B240,3,1
Bickley,B240,4,1
Bickly,B240,1,11
Bicknell,B254,1,675
Biddington,B352,1,1
Biddle,B340,6,1
Biddlecombe,B342,1,15
Biddleston,B342,1,30
Bide,B300,2,5550
Bidgood,B323,3,4
Bidmead,B353,1,8
Biel,B400,1,25
Bier,B600,1,1
Biffin,B150,1,8
Bigadyke,B232,1,1656
Bigg,B200,1,1
Bigge,B200,1,1
Biggen,B250,1,3
Biggerstaff,B262,2,1
Biggin,B250,3,1
Biggins,B252,1,1
Biggs,B200,17,1
Bigington,B252,1,1
Bigland,B245,1,1
Bignall,B254,1,1
Bignel,B254,1,2
Bignell,B254,4,1
Bignold,B254,1,1
Bigrigg,B262,1,18
Bigsby,B210,1,2
Bigwood,B230,3,41
Biles,B420,1,2
Bilkey,B420,1,1
Bill,B400,3,14
Billam,B450,1,6
Billcliff,B424,1,1
Billett,B430,2,1
Billey,B400,1,1
Billiald,B443,1,4
Billie,B400,1,954
Billing,B452,6,7
Billinge,B452,3,1
Billingham,B452,3,8
Billinghurst,B452,1,1
Billings,B452,3,3
Billington,B452,10,1
Biloe,B400,1,7
Bilsbury,B421,2,7
Bilsdon,B423,1,16
Bilson,B425,1,3
Biltcliffe,B432,1,1
Bilton,B435,7,1
Bimson,B525,1,1
Binder,B536,1,6
Bindley,B534,3,1
Bingham,B525,9,5
Bingle,B524,1,14
Bingley,B524,2,228
Binks,B520,3,2
Binley,B540,1,1
Binney,B500,1,1
Binnie,B500,2,1
Binning,B552,1,400
Binnington,B552,3,3
Binns,B520,9,8
Binsted,B523,1,1
Bint,B530,2,19
Bintliff,B534,1,7
Binyon,B550,1,1
Birbeck,B612,1,1
Birch,B620,21,2
Birchall,B624,4,9
Birche,B620,1,2871
Birchell,B624,1,1
Birchenall,B625,2,1
Bircher,B626,2,6
Birchinall,B625,1,1
Birchnall,B625,1,1
Birchwood,B623,2,831
Bird,B630,49,803
Birdsall,B632,4,3
Birdsell,B632,1,1
Birdsey,B632,2,2
Birkenhead,B625,1,103
Birkenshaw,B625,2,1
Birket,B623,1,4
Birkett,B623,1,6
Birkin,B625,1,5
Birkinshaw,B625,3,1
Birkinson,B625,1,1
Birkmyre,B625,1,12
Birks,B620,3,1
Birky,B620,1,128
Birlison,B642,1,131
Birmingham,B655,1,5
Birrell,B640,1,1
Birt,B630,1,2
Birtles,B634,2,1
Birtt,B630,1,1
Birtwhistle,B632,4,17172
Bisbrowne?,B216,1,227
